scene,floor,question,choices,question_formatted,answer,label
00005-yPKGKBCyYx8,0,Is the outdoor grill covered?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the outdoor grill covered? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,count
00006-HkseAnWCgqk,1,Is the living room light on?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Is the living room light on? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,D,existence
00015-LPwS1aEGXBb,1,Where did I leave the small gray bench?,"['In the kitchen', 'In the living room', 'In the bathroom', 'In the bedroom']",Where did I leave the small gray bench? A) In the kitchen B) In the living room C) In the bathroom D) In the bedroom. Answer:,C,identification
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is the kettle on the kitchen counter? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,existence
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,"['(Do not choose this option)', 'Yes, it is down', 'No, it is up', '(Do not choose this option)']","Is the gray curtain pulled down in the bedroom with two twin beds? A) (Do not choose this option) B) Yes, it is down C) No, it is up D) (Do not choose this option). Answer:",B,count
00033-oPj9qMxrDEa,0,Where did I leave the striped towel?,"['On the dining table', 'On the living room floor', 'In the bathroom', 'By the kitchen sink']",Where did I leave the striped towel? A) On the dining table B) On the living room floor C) In the bathroom D) By the kitchen sink. Answer:,D,state
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is the kettle on the kitchen countertop? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,identification
00036-41FNXLAZZgC,0,Is my kid on the treadmill?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Is my kid on the treadmill? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,C,identification
00037-oKFJo8jpzRW,0,Is there a cushion on the wicker chair in the room with the green walls?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Is there a cushion on the wicker chair in the room with the green walls? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,A,state
00051-CETmJJqkhcK,0,I'm trying to remember where I placed the blue figurine. Is it on top of any dresser in the house?,"['On the white dresser', 'On the wooden dresser', 'On the gray dresser', 'On the black dresser']",I'm trying to remember where I placed the blue figurine. Is it on top of any dresser in the house? A) On the white dresser B) On the wooden dresser C) On the gray dresser D) On the black dresser. Answer:,B,existence
